Attacking Type 1,Attacking Type 2,Defending Type 1,Defending Type 2,Effectiveness
Normal,Normal,Normal,Normal,1.0
Normal,Normal,Fire,Normal,1.0
Normal,Normal,Normal,Water,1.0
Normal,Normal,Electric,Normal,1.0
Normal,Normal,Grass,Normal,1.0
Normal,Normal,Ice,Normal,1.0
Normal,Normal,Fighting,Normal,1.0
Normal,Normal,Normal,Poison,1.0
Normal,Normal,Ground,Normal,1.0
Normal,Normal,Flying,Normal,1.0
Normal,Normal,Normal,Psychic,1.0
Normal,Normal,Bug,Normal,1.0
Normal,Normal,Normal,Rock,0.5
Normal,Normal,Ghost,Normal,0.0
Normal,Normal,Dragon,Normal,1.0
Normal,Normal,Dark,Normal,1.0
Normal,Normal,Normal,Steel,0.5
Normal,Normal,Fairy,Normal,1.0
Fire,Normal,Normal,Normal,1.0
Fire,Normal,Fire,Normal,0.5
Fire,Normal,Normal,Water,0.5
Fire,Normal,Electric,Normal,1.0
Fire,Normal,Grass,Normal,2.0
Fire,Normal,Ice,Normal,2.0
Fire,Normal,Fighting,Normal,1.0
Fire,Normal,Normal,Poison,1.0
Fire,Normal,Ground,Normal,1.0
Fire,Normal,Flying,Normal,1.0
Fire,Normal,Normal,Psychic,1.0
Fire,Normal,Bug,Normal,2.0
Fire,Normal,Normal,Rock,0.5
Fire,Normal,Ghost,Normal,1.0
Fire,Normal,Dragon,Normal,0.5
Fire,Normal,Dark,Normal,1.0
Fire,Normal,Normal,Steel,2.0
Fire,Normal,Fairy,Normal,1.0
Normal,Water,Normal,Normal,1.0
Normal,Water,Fire,Normal,2.0
Normal,Water,Normal,Water,0.5
Normal,Water,Electric,Normal,1.0
Normal,Water,Grass,Normal,0.5
Normal,Water,Ice,Normal,1.0
Normal,Water,Fighting,Normal,1.0
Normal,Water,Normal,Poison,1.0
Normal,Water,Ground,Normal,2.0
Normal,Water,Flying,Normal,1.0
Normal,Water,Normal,Psychic,1.0
Normal,Water,Bug,Normal,1.0
Normal,Water,Normal,Rock,2.0
Normal,Water,Ghost,Normal,1.0
Normal,Water,Dragon,Normal,0.5
Normal,Water,Dark,Normal,1.0
Normal,Water,Normal,Steel,1.0
Normal,Water,Fairy,Normal,1.0
Electric,Normal,Normal,Normal,1.0
Electric,Normal,Fire,Normal,1.0
Electric,Normal,Normal,Water,2.0
Electric,Normal,Electric,Normal,0.5
Electric,Normal,Grass,Normal,0.5
